               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.031866,            0.033457,           0.0010026,             0.94924,             0.92379,             0.96139,             0.61692,            0.027927,             0.02842,            0.001031,            0.005479,            0.005479,            0.005479
                 139,            0.031771,            0.033222,           0.0010439,             0.94968,              0.9235,             0.96148,             0.61717,            0.027918,            0.028411,           0.0010303,            0.005446,            0.005446,            0.005446
                 140,            0.031769,            0.033353,            0.001092,             0.94956,             0.92395,             0.96157,             0.61749,            0.027908,            0.028403,           0.0010307,            0.005413,            0.005413,            0.005413
                 141,            0.031654,             0.03332,           0.0011451,             0.94975,             0.92413,             0.96171,             0.61766,            0.027896,            0.028394,           0.0010302,             0.00538,             0.00538,             0.00538
                 142,            0.031833,            0.033262,           0.0010706,             0.94966,             0.92376,             0.96163,             0.61785,            0.027887,            0.028388,           0.0010305,            0.005347,            0.005347,            0.005347
                 143,            0.031642,            0.033042,           0.0010216,             0.94555,             0.92763,             0.96172,             0.61807,            0.027877,            0.028379,           0.0010309,            0.005314,            0.005314,            0.005314
                 144,            0.031648,            0.033143,           0.0011302,             0.94943,             0.92414,             0.96166,             0.61822,            0.027869,            0.028373,           0.0010309,            0.005281,            0.005281,            0.005281
                 145,            0.031659,            0.033053,           0.0010517,             0.94621,             0.92729,             0.96166,             0.61829,            0.027859,            0.028366,           0.0010311,            0.005248,            0.005248,            0.005248
                 146,            0.031472,            0.032743,           0.0011093,             0.94968,             0.92399,              0.9617,             0.61837,             0.02785,            0.028358,           0.0010308,            0.005215,            0.005215,            0.005215
                 147,            0.031603,            0.032908,           0.0010755,             0.95003,             0.92358,             0.96158,             0.61851,            0.027842,            0.028354,           0.0010309,            0.005182,            0.005182,            0.005182
                 148,            0.031807,            0.033497,           0.0011063,             0.94956,             0.92425,             0.96158,             0.61865,            0.027833,            0.028348,           0.0010304,            0.005149,            0.005149,            0.005149
                 149,            0.031418,            0.033147,           0.0010585,             0.94682,             0.92689,             0.96156,             0.61871,            0.027822,            0.028341,           0.0010308,            0.005116,            0.005116,            0.005116
                 150,            0.031467,            0.032608,           0.0010958,             0.94732,             0.92665,             0.96167,             0.61896,            0.027812,            0.028333,           0.0010305,            0.005083,            0.005083,            0.005083
                 151,            0.031539,            0.033049,           0.0010505,             0.94286,             0.93119,             0.96184,             0.61912,              0.0278,            0.028327,           0.0010294,             0.00505,             0.00505,             0.00505
                 152,            0.031498,            0.033222,           0.0011002,             0.94235,             0.93204,              0.9618,             0.61927,            0.027789,            0.028321,           0.0010294,            0.005017,            0.005017,            0.005017
                 153,            0.031602,            0.033297,           0.0011079,             0.94299,             0.93156,             0.96186,             0.61954,            0.027776,            0.028313,           0.0010287,            0.004984,            0.004984,            0.004984
                 154,            0.031499,            0.033034,           0.0010541,             0.94308,             0.93153,             0.96186,             0.61988,            0.027766,            0.028307,           0.0010291,            0.004951,            0.004951,            0.004951
                 155,            0.031389,            0.032875,          0.00089761,             0.94457,             0.93027,             0.96189,             0.62013,            0.027754,            0.028299,           0.0010296,            0.004918,            0.004918,            0.004918
                 156,            0.031366,            0.032715,           0.0010151,             0.94504,             0.93016,             0.96199,             0.62071,            0.027744,            0.028295,           0.0010307,            0.004885,            0.004885,            0.004885
                 157,            0.031459,            0.033015,           0.0010227,             0.94537,             0.93001,             0.96204,             0.62086,            0.027732,            0.028289,           0.0010316,            0.004852,            0.004852,            0.004852
